X,Y,Z
-80.6617708,43.6617708,403.50
-80.6584375,43.6617708,407.50
-80.6551042,43.6617708,407.00
-80.6517708,43.6617708,402.50
-80.6484375,43.6617708,404.50
-80.6451042,43.6617708,400.25
-80.6417708,43.6617708,402.50
-80.6384375,43.6617708,405.00
-80.6351042,43.6617708,409.50
-80.6317708,43.6617708,409.50
-80.6284375,43.6617708,406.00
-80.6251042,43.6617708,406.00
-80.6217708,43.6617708,406.00
-80.6184375,43.6617708,405.75
-80.6151042,43.6617708,404.50
-80.6117708,43.6617708,404.00
-80.6084375,43.6617708,404.00
-80.6051042,43.6617708,403.50
-80.6017708,43.6617708,403.50
-80.5984375,43.6617708,403.00
-80.5951042,43.6617708,403.00
-80.5917708,43.6617708,403.25
-80.5884375,43.6617708,394.50
-80.5851042,43.6617708,397.75
-80.5817708,43.6617708,399.00
-80.5784375,43.6617708,396.50
-80.5751042,43.6617708,395.50
-80.5717708,43.6617708,391.00
-80.5684375,43.6617708,396.00
-80.5651042,43.6617708,388.75
-80.5617708,43.6617708,387.00
-80.5584375,43.6617708,391.00
-80.5551042,43.6617708,393.00
-80.5517708,43.6617708,395.00
-80.5484375,43.6617708,397.00
-80.5451042,43.6617708,401.75
-80.5417708,43.6617708,404.50
-80.5384375,43.6617708,410.00
-80.5351042,43.6617708,411.00
-80.5317708,43.6617708,412.00
-80.5284375,43.6617708,404.00
-80.5251042,43.6617708,419.50
-80.5217708,43.6617708,407.00
-80.5184375,43.6617708,403.75
-80.5151042,43.6617708,400.00
-80.5117708,43.6617708,395.00
-80.5084375,43.6617708,383.00
-80.5051042,43.6617708,377.00
-80.5017708,43.6617708,391.00
-80.4984375,43.6617708,385.00
-80.4951042,43.6617708,390.25
-80.4917708,43.6617708,391.00
-80.4884375,43.6617708,388.50
-80.4851042,43.6617708,379.00
-80.4817708,43.6617708,375.00
-80.4784375,43.6617708,376.00
-80.4751042,43.6617708,376.25
-80.4717708,43.6617708,381.75
-80.4684375,43.6617708,383.75
-80.4651042,43.6617708,380.50
-80.4617708,43.6617708,374.50
-80.4584375,43.6617708,369.75
-80.4551042,43.6617708,364.75
-80.4517708,43.6617708,354.00
-80.4484375,43.6617708,359.50
-80.4451042,43.6617708,385.50
-80.4417708,43.6617708,385.00
-80.4384375,43.6617708,385.00
-80.4351042,43.6617708,385.00
-80.4317708,43.6617708,382.50
-80.4284375,43.6617708,382.00
-80.4251042,43.6617708,381.50
-80.4217708,43.6617708,382.00
-80.4184375,43.6617708,384.00
-80.4151042,43.6617708,389.25
-80.4117708,43.6617708,391.25
-80.4084375,43.6617708,386.00
-80.4051042,43.6617708,391.00
-80.4017708,43.6617708,388.75
-80.3984375,43.6617708,389.50
-80.3951042,43.6617708,390.00
-80.3917708,43.6617708,378.75
-80.3884375,43.6617708,379.50
-80.3851042,43.6617708,374.75
-80.3817708,43.6617708,379.00
-80.3784375,43.6617708,389.00
-80.3751042,43.6617708,379.25
-80.3717708,43.6617708,378.50
-80.3684375,43.6617708,378.00
-80.3651042,43.6617708,380.75
-80.3617708,43.6617708,389.00
-80.3584375,43.6617708,384.75
-80.3551042,43.6617708,381.00
-80.3517708,43.6617708,382.00
-80.3484375,43.6617708,384.00
-80.3451042,43.6617708,385.00
-80.3417708,43.6617708,384.00
-80.3384375,43.6617708,391.50
-80.3351042,43.6617708,394.00
-80.3317708,43.6617708,396.00
-80.3284375,43.6617708,396.00
-80.3251042,43.6617708,394.00
-80.3217708,43.6617708,395.00
-80.3184375,43.6617708,395.00
-80.3151042,43.6617708,395.00
-80.3117708,43.6617708,394.75
-80.3084375,43.6617708,394.75
-80.3051042,43.6617708,388.50
-80.3017708,43.6617708,384.00
-80.2984375,43.6617708,385.00
-80.2951042,43.6617708,373.00
-80.2917708,43.6617708,385.50
-80.2884375,43.6617708,389.75
-80.2851042,43.6617708,384.75
-80.2817708,43.6617708,384.00
-80.2784375,43.6617708,384.00
-80.2751042,43.6617708,386.50
-80.2717708,43.6617708,387.00
-80.2684375,43.6617708,376.00
-80.2651042,43.6617708,379.50
-80.2617708,43.6617708,376.00
-80.2584375,43.6617708,367.50
-80.2551042,43.6617708,365.25
-80.2517708,43.6617708,383.50
-80.2484375,43.6617708,376.25
-80.2451042,43.6617708,388.25
-80.2417708,43.6617708,384.00
-80.2384375,43.6617708,379.25
-80.2351042,43.6617708,381.00
-80.2317708,43.6617708,375.25
-80.2284375,43.6617708,373.25
-80.2251042,43.6617708,370.50
-80.2217708,43.6617708,367.00
-80.2184375,43.6617708,370.50
-80.2151042,43.6617708,380.00
-80.2117708,43.6617708,380.50
-80.2084375,43.6617708,375.75
-80.2051042,43.6617708,392.50
-80.2017708,43.6617708,399.50
-80.1984375,43.6617708,389.50
-80.1951042,43.6617708,394.75
-80.1917708,43.6617708,384.00
-80.8951042,43.6584375,395.00
-80.8917708,43.6584375,396.00
-80.8884375,43.6584375,397.75
-80.8851042,43.6584375,399.50
-80.8817708,43.6584375,399.50
-80.8784375,43.6584375,399.75
-80.8751042,43.6584375,400.00
-80.8717708,43.6584375,399.00
-80.8684375,43.6584375,397.00
-80.8651042,43.6584375,396.00
-80.8617708,43.6584375,394.25
-80.8584375,43.6584375,389.25
-80.8551042,43.6584375,392.50
-80.8517708,43.6584375,391.25
-80.8484375,43.6584375,390.00
-80.8451042,43.6584375,394.50
-80.8417708,43.6584375,394.25
-80.8384375,43.6584375,395.00
-80.8351042,43.6584375,396.00
-80.8317708,43.6584375,397.00
-80.8284375,43.6584375,397.00
-80.8251042,43.6584375,397.00
-80.8217708,43.6584375,398.00
-80.8184375,43.6584375,398.00
-80.8151042,43.6584375,399.75
-80.8117708,43.6584375,400.00
-80.8084375,43.6584375,400.00
-80.8051042,43.6584375,397.75
-80.8017708,43.6584375,400.75
-80.7984375,43.6584375,400.00
-80.7951042,43.6584375,401.00
-80.7917708,43.6584375,400.00
-80.7884375,43.6584375,400.25
-80.7851042,43.6584375,403.25
-80.7817708,43.6584375,405.00
-80.7784375,43.6584375,405.00
-80.7751042,43.6584375,405.00
-80.7717708,43.6584375,401.00
-80.7684375,43.6584375,401.00
-80.7651042,43.6584375,404.00
-80.7617708,43.6584375,406.00
-80.7584375,43.6584375,405.00
-80.7551042,43.6584375,402.00
-80.7517708,43.6584375,405.00
-80.7484375,43.6584375,405.00
-80.7451042,43.6584375,405.00
-80.7417708,43.6584375,406.00
-80.7384375,43.6584375,408.00
-80.7351042,43.6584375,410.00
-80.7317708,43.6584375,410.00
-80.7284375,43.6584375,411.00
-80.7251042,43.6584375,412.00
-80.7217708,43.6584375,413.00
-80.7184375,43.6584375,411.00
-80.7151042,43.6584375,405.50
-80.7117708,43.6584375,399.25
-80.7084375,43.6584375,382.00
-80.7051042,43.6584375,369.25
-80.7017708,43.6584375,395.25
-80.6984375,43.6584375,402.75
-80.6951042,43.6584375,402.00
-80.6917708,43.6584375,397.75
-80.6884375,43.6584375,400.00
-80.6851042,43.6584375,390.25
-80.6817708,43.6584375,393.75
-80.6784375,43.6584375,397.50
-80.6751042,43.6584375,393.25
-80.6717708,43.6584375,399.25
-80.6684375,43.6584375,398.50
-80.6651042,43.6584375,399.00
-80.6617708,43.6584375,405.00
-80.6584375,43.6584375,406.00
-80.6551042,43.6584375,404.75
-80.6517708,43.6584375,397.50
-80.6484375,43.6584375,400.00
-80.6451042,43.6584375,404.00
-80.6417708,43.6584375,405.25
-80.6384375,43.6584375,407.00
-80.6351042,43.6584375,408.00
-80.6317708,43.6584375,407.00
-80.6284375,43.6584375,405.00
-80.6251042,43.6584375,402.50
-80.6217708,43.6584375,403.00
-80.6184375,43.6584375,402.50
-80.6151042,43.6584375,402.00
-80.6117708,43.6584375,400.00
-80.6084375,43.6584375,398.00
-80.6051042,43.6584375,400.00
-80.6017708,43.6584375,400.25
-80.5984375,43.6584375,399.00
-80.5951042,43.6584375,399.00
-80.5917708,43.6584375,400.50
-80.5884375,43.6584375,399.25
-80.5851042,43.6584375,390.00
-80.5817708,43.6584375,395.75
-80.5784375,43.6584375,395.00
-80.5751042,43.6584375,389.50
-80.5717708,43.6584375,393.00
-80.5684375,43.6584375,392.25
-80.5651042,43.6584375,385.50
-80.5617708,43.6584375,390.00
-80.5584375,43.6584375,392.00
-80.5551042,43.6584375,391.50
-80.5517708,43.6584375,392.00
-80.5484375,43.6584375,396.00
-80.5451042,43.6584375,400.50
-80.5417708,43.6584375,405.50
-80.5384375,43.6584375,408.25
-80.5351042,43.6584375,408.50
-80.5317708,43.6584375,406.00
